appid,name,developer,categories,genres,steamspy_tags
10,Counter-Strike,Valve,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
20,Team Fortress Classic,Valve,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
30,Day of Defeat,Valve,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer
40,Deathmatch Classic,Valve,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
50,Half-Life: Opposing Force,Gearbox Software,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi
60,Ricochet,Valve,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
70,Half-Life,Valve,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action
80,Counter-Strike: Condition Zero,Valve,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
130,Half-Life: Blue Shift,Gearbox Software,Single-player,Action,FPS;Action;Sci-fi
220,Half-Life 2,Valve,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi
240,Counter-Strike: Source,Valve,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer
280,Half-Life: Source,Valve,Single-player,Action,FPS;Action;Sci-fi
300,Day of Defeat: Source,Valve,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer
320,Half-Life 2: Deathmatch,Valve,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer
340,Half-Life 2: Lost Coast,Valve,Single-player;Commentary available,Action,FPS;Action;Singleplayer
360,Half-Life Deathmatch: Source,Valve,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
380,Half-Life 2: Episode One,Valve,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi
400,Portal,Valve,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer
420,Half-Life 2: Episode Two,Valve,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi
440,Team Fortress 2,Valve,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS
500,Left 4 Dead,Valve,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS
550,Left 4 Dead 2,Valve,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS
570,Dota 2,Valve,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy
620,Portal 2,Valve,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person
630,Alien Swarm,Valve,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action
730,Counter-Strike: Global Offensive,Valve;Hidden Path Entertainment,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter
1002,Rag Doll Kung Fu,Mark Healey,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS
1250,Killing Floor,Tripwire Interactive,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op
1300,SiN Episodes: Emergence,Ritual Entertainment,Single-player;Stats,Action,Action;FPS;Cyberpunk
1500,Darwinia,Introversion Software,Single-player,Indie;Strategy,Strategy;Indie;RTS
1510,Uplink,Introversion Software,Single-player,Indie;Strategy,Hacking;Indie;Strategy
1520,DEFCON,Introversion Software,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer
1530,Multiwinia,Introversion Software,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy
1600,Dangerous Waters,Sonalysts,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval
1610,Space Empires IV Deluxe,Malfador Machinations,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi
1630,Disciples II: Rise of the Elves ,Strategy First,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy
